,epoch,batch_size,learning_rate,bottleneck_dim,weight_decay,auto_encoder,batch_normalization,error_rate
280,200,16,0.01,32.0,0.001,linear,False,0.14684104365961892
281,200,16,0.01,64.0,0.001,linear,False,0.1517406587089811
282,200,16,0.01,16.0,0.0001,linear,False,0.14427987251962934
283,200,16,0.01,32.0,0.0001,linear,False,0.13484898039272852
284,200,16,0.01,64.0,0.0001,linear,False,0.15798975271838053
285,200,16,0.01,16.0,1e-05,linear,False,0.1311253662620272
286,200,16,0.01,32.0,1e-05,linear,False,0.14549609422683715
287,200,16,0.01,64.0,1e-05,linear,False,0.14533738834517343
288,200,32,0.0001,16.0,0.01,linear,False,0.14978420308658055
289,200,32,0.0001,32.0,0.01,linear,False,0.15139839138303485
290,200,32,0.0001,64.0,0.01,linear,False,0.15265956137861525
291,200,32,0.0001,16.0,0.001,linear,False,0.1503026455640793
292,200,32,0.0001,32.0,0.001,linear,False,0.1504664497716086
293,200,32,0.0001,64.0,0.001,linear,False,0.15215889258044107
294,200,32,0.0001,16.0,0.0001,linear,False,0.13421629198959895
295,200,32,0.0001,32.0,0.0001,linear,False,0.12999494331223624
296,200,32,0.0001,64.0,0.0001,linear,False,0.12686191286359513
297,200,32,0.0001,16.0,1e-05,linear,False,0.09820558364902224
298,200,32,0.0001,32.0,1e-05,linear,False,0.07990568003484182
299,200,32,0.0001,64.0,1e-05,linear,False,0.10270985918385642
300,200,32,0.001,16.0,0.01,linear,False,0.150240758061409
301,200,32,0.001,32.0,0.01,linear,False,0.15623553097248077
302,200,32,0.001,64.0,0.01,linear,False,0.15657753433500018
303,200,32,0.001,16.0,0.001,linear,False,0.15156529758657727
304,200,32,0.001,32.0,0.001,linear,False,0.14998164049216678
305,200,32,0.001,64.0,0.001,linear,False,0.15684411610875812
306,200,32,0.001,16.0,0.0001,linear,False,0.13544718367712838
307,200,32,0.001,32.0,0.0001,linear,False,0.13905817823750632
308,200,32,0.001,64.0,0.0001,linear,False,0.13168543406895228
309,200,32,0.001,16.0,1e-05,linear,False,0.09568299438272204
310,200,32,0.001,32.0,1e-05,linear,False,0.08270665322031294
311,200,32,0.001,64.0,1e-05,linear,False,0.1046958897794996
312,200,32,0.01,16.0,0.01,linear,False,0.15568144321441652
313,200,32,0.01,32.0,0.01,linear,False,0.15401218618665422
314,200,32,0.01,64.0,0.01,linear,False,0.14999671833855766
315,200,32,0.01,16.0,0.001,linear,False,0.15576359118734087
316,200,32,0.01,32.0,0.001,linear,False,0.15136354608195168
317,200,32,0.01,64.0,0.001,linear,False,0.1579699810062136
318,200,32,0.01,16.0,0.0001,linear,False,0.1351870834827423
319,200,32,0.01,32.0,0.0001,linear,False,0.1381764245884759
320,200,32,0.01,64.0,0.0001,linear,False,0.14513327181339264
321,200,32,0.01,16.0,1e-05,linear,False,0.1369971798998969
322,200,32,0.01,32.0,1e-05,linear,False,0.12590842247009276
323,200,32,0.01,64.0,1e-05,linear,False,0.14610113884721485
324,200,64,0.0001,16.0,0.01,linear,False,0.1520061194896698
325,200,64,0.0001,32.0,0.01,linear,False,0.15644651651382446
326,200,64,0.0001,64.0,0.01,linear,False,0.14787113666534424
327,200,64,0.0001,16.0,0.001,linear,False,0.15190830826759338
328,200,64,0.0001,32.0,0.001,linear,False,0.15711013972759247
329,200,64,0.0001,64.0,0.001,linear,False,0.15716111660003662
330,200,64,0.0001,16.0,0.0001,linear,False,0.12714961171150208
331,200,64,0.0001,32.0,0.0001,linear,False,0.12492773681879044
332,200,64,0.0001,64.0,0.0001,linear,False,0.13389472663402557
333,200,64,0.0001,16.0,1e-05,linear,False,0.10610953718423843
334,200,64,0.0001,32.0,1e-05,linear,False,0.09348126500844955
335,200,64,0.0001,64.0,1e-05,linear,False,0.10240409523248672
336,200,64,0.001,16.0,0.01,linear,False,0.15783491730690002
337,200,64,0.001,32.0,0.01,linear,False,0.15116484463214874
338,200,64,0.001,64.0,0.01,linear,False,0.1554490476846695
339,200,64,0.001,16.0,0.001,linear,False,0.15403471887111664
340,200,64,0.001,32.0,0.001,linear,False,0.15117987990379333
341,200,64,0.001,64.0,0.001,linear,False,0.15455842018127441
342,200,64,0.001,16.0,0.0001,linear,False,0.13202203810214996
343,200,64,0.001,32.0,0.0001,linear,False,0.13825960457324982
344,200,64,0.001,64.0,0.0001,linear,False,0.13606370985507965
345,200,64,0.001,16.0,1e-05,linear,False,0.07706847786903381
346,200,64,0.001,32.0,1e-05,linear,False,0.09932485222816467
347,200,64,0.001,64.0,1e-05,linear,False,0.08683562278747559
348,200,64,0.01,16.0,0.01,linear,False,0.15425458550453186
349,200,64,0.01,32.0,0.01,linear,False,0.14944472908973694
350,200,64,0.01,64.0,0.01,linear,False,0.15890902280807495
351,200,64,0.01,16.0,0.001,linear,False,0.15013693273067474
352,200,64,0.01,32.0,0.001,linear,False,0.15151312947273254
353,200,64,0.01,64.0,0.001,linear,False,0.15225522220134735
354,200,64,0.01,16.0,0.0001,linear,False,0.13344107568264008
355,200,64,0.01,32.0,0.0001,linear,False,0.1425679475069046
356,200,64,0.01,64.0,0.0001,linear,False,0.1438521295785904
357,200,64,0.01,16.0,1e-05,linear,False,0.12681424617767334
358,200,64,0.01,32.0,1e-05,linear,False,0.1345997154712677
359,200,64,0.01,64.0,1e-05,linear,False,0.1336427927017212
